Serial_Number Cathode_Luminous_Sens Anode_Luminous_Sens. Anode_Dark_Current Cathode_Blue_Sens._Index Gain_Anode/Cathode
BAC9693 115.0 508.0 0.11 13.10 4.42E+06
BAC9699 106.0 498.0 0.02 12.20 4.70E+06
BAC9732 117.0 566.0 0.02 12.60 4.84E+06
BAC9733 115.0 515.0 0.02 12.50 4.48E+06
BAC9747 113.0 511.0 0.02 12.50 4.52E+06
BAC9748 104.0 424.0 0.02 12.30 4.08E+06
BAC9749 107.0 406.0 0.02 12.20 3.79E+06
BAC9750 110.0 410.0 0.02 12.40 3.73E+06
BAC9829 107.0 672.0 0.17 12.70 6.28E+06
BAC9831 106.0 593.0 0.12 12.70 5.59E+06
BAC9834 109.0 589.0 0.14 12.80 5.40E+06
BAC9835 108.0 578.0 0.16 12.80 5.35E+06
BAC9931 129.0 658.0 0.08 13.70 5.10E+06
BAD0490 108.0 852.0 0.02 13.00 7.89E+06
BAD0491 107.0 804.0 0.02 12.80 7.51E+06
BAD0492 109.0 657.0 0.02 13.00 6.03E+06
BAD0493 109.0 762.0 0.02 12.90 6.99E+06
BAD0494 107.0 721.0 0.02 12.90 6.74E+06
BAD0495 110.0 644.0 0.02 13.00 5.85E+06
BAD0502 105.0 826.0 0.02 12.70 7.87E+06
BAD0505 106.0 760.0 0.02 12.70 7.17E+06
BAD0508 105.0 736.0 0.02 12.70 7.01E+06
BAD0513 109.0 741.0 0.02 12.90 6.80E+06
BAD0514 109.0 807.0 0.02 12.80 7.40E+06
BAD0516 106.0 839.0 0.02 12.80 7.92E+06
BAD0517 105.0 602.0 0.03 12.70 5.73E+06
BAD0518 106.0 578.0 0.02 12.70 5.45E+06
BAD0519 104.0 510.0 0.03 12.70 4.90E+06
BAD0520 107.0 491.0 0.02 12.80 4.59E+06
BAD0555 113.0 548.0 0.04 12.80 4.85E+06
BAD0591 095.3 961.0 0.05 12.30 1.01E+07
BAD0605 121.0 530.0 0.72 13.00 4.38E+06
BAD0606 119.0 586.0 0.72 12.90 4.92E+06
BAD0607 121.0 579.0 0.71 13.00 4.79E+06
BAD0619 124.0 533.0 0.82 13.10 4.30E+06
BAD0626 121.0 536.0 0.82 13.10 4.43E+06
BAD0628 120.0 374.0 0.49 13.00 3.12E+06
BAD0629 121.0 494.0 0.72 12.90 4.08E+06
BAD0631 97.1 977.0 0.06 12.30 1.01E+07
BAD0632 99.3 832.0 0.05 12.40 8.38E+06
BAD0645 104.0 914.0 0.06 12.60 8.79E+06
BAD0659 99.3 799.0 0.06 12.30 8.05E+06
BAD0760 104.0 875.0 0.03 12.40 8.41E+06
